type,slug,title,merchant,status,asset_path,code
product,gymbeam-magnesium-citrate,"Magnézium citrát",GymBeam,missing-local-packshot,img/products/gymbeam/gymbeam-magnesium-citrate/main.webp,horcik-ktory-je-najlepsi-a-preco-gymbeam
product,gymbeam-magnesium-citrate-caps,"GymBeam Magnesium Citrate Caps",GymBeam,missing-local-packshot,img/products/gymbeam/gymbeam-magnesium-citrate-caps/main.webp,horcik-ktory-je-najlepsi-a-preco-gymbeam
product,gymbeam-probioten,"ProbioTen - GymBeam",GymBeam,missing-local-packshot,img/products/gymbeam/gymbeam-probioten/main.webp,probiotika-ako-vybrat-gymbeam
product,gymbeam-probiotics-everyday,"Everyday digestion probiotiká",GymBeam,missing-local-packshot,img/products/gymbeam/gymbeam-probiotics-everyday/main.webp,probiotika-ako-vybrat-gymbeam
product,gymbeam-runcollg-collagen,"GymBeam RunCollg Collagen",GymBeam,missing-local-packshot,img/products/gymbeam/gymbeam-runcollg-collagen/main.webp,kolagen-na-klby-porovnanie-gymbeam
product,gymbeam-true-whey,"GymBeam True Whey",GymBeam,missing-local-packshot,img/products/gymbeam/gymbeam-true-whey/main.webp,protein-na-chudnutie-gymbeam
product,gymbeam-vegan-blend,"GymBeam Vegan Blend",GymBeam,missing-local-packshot,img/products/gymbeam/gymbeam-vegan-blend/main.webp,veganske-proteiny-top-vyber-2025-gymbeam
product,gymbeam-whey-concentrate-value,"Whey koncentrát / value voľba",GymBeam,missing-local-packshot,img/products/gymbeam/gymbeam-whey-concentrate-value/main.webp,protein-na-chudnutie-gymbeam
product,myprotein-clear-protein-light,"Clear protein / ľahší drink",Myprotein,missing-local-packshot,img/products/myprotein/myprotein-clear-protein-light/main.webp,protein-na-chudnutie-myprotein
product,myprotein-creatine-hcl,"Kreatín HCl / alternatíva",Myprotein,missing-local-packshot,img/products/myprotein/myprotein-creatine-hcl/main.webp,kreatin-monohydrat-vs-hcl-myprotein
product,myprotein-magnesium-malate,"Magnézium malát",Myprotein,missing-local-packshot,img/products/myprotein/myprotein-magnesium-malate/main.webp,horcik-ktory-je-najlepsi-a-preco-myprotein
product,myprotein-non-stim-pump,"Non-stim pump formula",Myprotein,missing-local-packshot,img/products/myprotein/myprotein-non-stim-pump/main.webp,pre-workout-ako-vybrat-myprotein
product,myprotein-probiotics-capsules,"Probiotiká / cestovné kapsuly",Myprotein,missing-local-packshot,img/products/myprotein/myprotein-probiotics-capsules/main.webp,probiotika-ako-vybrat-myprotein
